source_file,pipeline,horizon,model,n_test,n_bootstrap,block_len,mae_point,mae_lower95,mae_upper95,rmse_point,rmse_lower95,rmse_upper95,mae_top_decile_point,mae_top_decile_lower95,mae_top_decile_upper95
tabular_h24_xgboost.csv,tabular,h24,xgboost,4037,1000,168,22.15789935291773,19.634042431867034,24.659141724827208,27.07002245486305,24.703197124261465,29.41665856914783,22.899792833751057,18.91501098933743,27.249366397426634
tabular_h336_linear_svr.csv,tabular,h336,linear_svr,4037,1000,168,14.520343036718675,12.571941416292656,16.269410515967344,19.494485996525107,17.131432639876543,21.819537250343256,26.529296760378564,21.850333248776522,31.65948167302094
tabular_h336_naive_level.csv,tabular,h336,naive_level,4037,1000,168,15.385008703900121,13.395535097900842,17.234077950065004,22.738087286156105,19.929525806961607,25.6223072668401,32.0396212509613,28.237045015429853,35.993753479349195
tabular_h336_rf.csv,tabular,h336,rf,4037,1000,168,19.640732125892878,16.310208111558886,22.96219764091873,25.46954654343106,21.89198698756762,28.693494821945883,24.15314997268648,19.403432057094847,30.927407810318954
tabular_h336_ridge.csv,tabular,h336,ridge,4037,1000,168,50.00793884210549,48.10779453970284,51.91647486524783,52.38321564263384,50.29194573899598,54.37016626463202,29.284687838669218,26.888276166407476,32.29336458087826
tabular_h336_ridge_ar_lag_fourier.csv,tabular,h336,ridge_ar_lag_fourier,4037,1000,168,15.39386319400417,13.481477645519655,17.16548713468395,20.30966789792499,17.786377623850772,22.617733049309003,25.70920433846706,20.789211417058972,30.838762116836968
tabular_h336_seasonal_naive_168h.csv,tabular,h336,seasonal_naive_168h,4037,1000,168,17.48754648384197,15.917581984506628,18.928453094743528,24.90547394037121,22.327294568502307,27.3137201623814,37.27994652406417,32.083468101777605,42.62864575075313
tabular_h336_seasonal_naive_24h.csv,tabular,h336,seasonal_naive_24h,4037,1000,168,15.666707949562099,13.398774782109223,17.670182471940755,23.432085080866894,20.358836519920494,25.943554812286184,33.336,28.903249363327678,38.34218424687409
tabular_h336_seasonal_naive_336h.csv,tabular,h336,seasonal_naive_336h,4037,1000,168,18.880841578216437,17.57458640676204,20.36366145076746,25.544064541679624,23.28490631749712,28.01599503628312,39.58729288208341,34.918873652516936,45.34854832685713
tabular_h336_seasonal_naive_672h.csv,tabular,h336,seasonal_naive_672h,4037,1000,168,16.525136239782018,14.93929906180332,18.161112986128316,24.130709311454485,21.7963373880488,26.653289377822656,39.398522167487684,35.21903988635689,44.390486033400634
