file,pipeline,horizon,model,site,n,q_pool,n90_pool,mae90_pool_thr,q_site,n90_site,mae90_site_thr
tabular_h168_naive_level.csv,tabular,h168,naive_level,"Divine healer's Church, Bethlehem",673,59.6,104,28.565384615384616,65.1,69,34.67971014492754
tabular_h168_naive_level.csv,tabular,h168,naive_level,"Satet International School, Tema Manhean",673,59.6,107,32.88411214953271,69.6,69,41.657971014492745
tabular_h168_naive_level.csv,tabular,h168,naive_level,Tema Community 25 Estate,673,59.6,13,37.93846153846154,43.3,70,20.80857142857143
tabular_h168_naive_level.csv,tabular,h168,naive_level,Tema Community 3 SSNIT Flat,672,59.6,64,41.86718750000001,58.37,68,40.29558823529412
tabular_h168_naive_level.csv,tabular,h168,naive_level,"Tema Community 7, Royal School",673,59.6,68,33.11764705882352,59.66,68,33.11764705882352
tabular_h168_naive_level.csv,tabular,h168,naive_level,Tema Port,673,59.6,50,26.791999999999998,55.98,68,24.24264705882353
tabular_h168_rf.csv,tabular,h168,rf,"Divine healer's Church, Bethlehem",673,59.6,104,19.148419761004444,65.1,69,25.268352162981667
tabular_h168_rf.csv,tabular,h168,rf,"Satet International School, Tema Manhean",673,59.6,107,23.88225170929438,69.6,69,30.842445372664777
tabular_h168_rf.csv,tabular,h168,rf,Tema Community 25 Estate,673,59.6,13,27.0241249964817,43.3,70,11.700755623281593
tabular_h168_rf.csv,tabular,h168,rf,Tema Community 3 SSNIT Flat,672,59.6,64,28.968362489170936,58.37,68,27.73772607423379
tabular_h168_rf.csv,tabular,h168,rf,"Tema Community 7, Royal School",673,59.6,68,21.919755609217106,59.66,68,21.919755609217106
tabular_h168_rf.csv,tabular,h168,rf,Tema Port,673,59.6,50,21.29821073464918,55.98,68,18.534510442359903
tabular_h168_ridge_ar_lag_fourier.csv,tabular,h168,ridge_ar_lag_fourier,"Divine healer's Church, Bethlehem",673,59.6,104,126.50191059613657,65.1,69,134.8146788863253
tabular_h168_ridge_ar_lag_fourier.csv,tabular,h168,ridge_ar_lag_fourier,"Satet International School, Tema Manhean",673,59.6,107,125.88274334065245,69.6,69,135.7478654750271
tabular_h168_ridge_ar_lag_fourier.csv,tabular,h168,ridge_ar_lag_fourier,Tema Community 25 Estate,673,59.6,13,145.8770145678158,43.3,70,120.50702816392732
tabular_h168_ridge_ar_lag_fourier.csv,tabular,h168,ridge_ar_lag_fourier,Tema Community 3 SSNIT Flat,672,59.6,64,138.28794853130614,58.37,68,136.59198483723347
tabular_h168_ridge_ar_lag_fourier.csv,tabular,h168,ridge_ar_lag_fourier,"Tema Community 7, Royal School",673,59.6,68,128.3531790522733,59.66,68,128.3531790522733
tabular_h168_ridge_ar_lag_fourier.csv,tabular,h168,ridge_ar_lag_fourier,Tema Port,673,59.6,50,128.94391628948594,55.98,68,124.91939598119889
tabular_h168_seasonal_naive_168h.csv,tabular,h168,seasonal_naive_168h,"Divine healer's Church, Bethlehem",673,59.6,104,,65.1,69,
tabular_h168_seasonal_naive_168h.csv,tabular,h168,seasonal_naive_168h,"Satet International School, Tema Manhean",673,59.6,107,,69.6,69,
tabular_h168_seasonal_naive_168h.csv,tabular,h168,seasonal_naive_168h,Tema Community 25 Estate,673,59.6,13,43.66153846153846,43.3,70,
tabular_h168_seasonal_naive_168h.csv,tabular,h168,seasonal_naive_168h,Tema Community 3 SSNIT Flat,672,59.6,64,37.4859375,58.37,68,36.06029411764706
tabular_h168_seasonal_naive_168h.csv,tabular,h168,seasonal_naive_168h,"Tema Community 7, Royal School",673,59.6,68,31.288235294117644,59.66,68,31.288235294117644
tabular_h168_seasonal_naive_168h.csv,tabular,h168,seasonal_naive_168h,Tema Port,673,59.6,50,,55.98,68,
tabular_h168_seasonal_naive_24h.csv,tabular,h168,seasonal_naive_24h,"Divine healer's Church, Bethlehem",673,59.6,104,,65.1,69,
tabular_h168_seasonal_naive_24h.csv,tabular,h168,seasonal_naive_24h,"Satet International School, Tema Manhean",673,59.6,107,32.91869158878505,69.6,69,38.69130434782609
